,HierarchyLevel,CategoryName,CategoryId,Level1,Level2,Level3,Level4,Level5
186,4,Tempura Restaurant,55a59a31e4b013909087cb00,Food,Asian Restaurant,Japanese Restaurant,Tempura Restaurant,
187,4,Tonkatsu Restaurant,55a59af1e4b013909087cb03,Food,Asian Restaurant,Japanese Restaurant,Tonkatsu Restaurant,
188,4,Udon Restaurant,55a59bace4b013909087cb2a,Food,Asian Restaurant,Japanese Restaurant,Udon Restaurant,
189,4,Unagi Restaurant,55a59bace4b013909087cb0f,Food,Asian Restaurant,Japanese Restaurant,Unagi Restaurant,
190,4,Wagashi Place,55a59bace4b013909087cb33,Food,Asian Restaurant,Japanese Restaurant,Wagashi Place,
191,4,Yakitori Restaurant,55a59bace4b013909087cb09,Food,Asian Restaurant,Japanese Restaurant,Yakitori Restaurant,
192,4,Yoshoku Restaurant,55a59bace4b013909087cb36,Food,Asian Restaurant,Japanese Restaurant,Yoshoku Restaurant,
193,3,Korean Restaurant,4bf58dd8d48988d113941735,Food,Asian Restaurant,Korean Restaurant,,
194,4,Bossam/Jokbal Restaurant,56aa371be4b08b9a8d5734e4,Food,Asian Restaurant,Korean Restaurant,Bossam/Jokbal Restaurant,
195,4,Bunsik Restaurant,56aa371be4b08b9a8d5734f0,Food,Asian Restaurant,Korean Restaurant,Bunsik Restaurant,
196,4,Gukbap Restaurant,56aa371be4b08b9a8d5734e7,Food,Asian Restaurant,Korean Restaurant,Gukbap Restaurant,
197,4,Janguh Restaurant,56aa371be4b08b9a8d5734ed,Food,Asian Restaurant,Korean Restaurant,Janguh Restaurant,
198,4,Samgyetang Restaurant,56aa371be4b08b9a8d5734ea,Food,Asian Restaurant,Korean Restaurant,Samgyetang Restaurant,
199,3,Malay Restaurant,4bf58dd8d48988d156941735,Food,Asian Restaurant,Malay Restaurant,,
200,4,Mamak Restaurant,5ae9595eb77c77002c2f9f26,Food,Asian Restaurant,Malay Restaurant,Mamak Restaurant,
201,3,Mongolian Restaurant,4eb1d5724b900d56c88a45fe,Food,Asian Restaurant,Mongolian Restaurant,,
202,3,Noodle House,4bf58dd8d48988d1d1941735,Food,Asian Restaurant,Noodle House,,
203,3,Satay Restaurant,56aa371be4b08b9a8d57350e,Food,Asian Restaurant,Satay Restaurant,,
204,3,Thai Restaurant,4bf58dd8d48988d149941735,Food,Asian Restaurant,Thai Restaurant,,
205,4,Som Tum Restaurant,56aa371be4b08b9a8d573502,Food,Asian Restaurant,Thai Restaurant,Som Tum Restaurant,
206,3,Tibetan Restaurant,52af39fb3cf9994f4e043be9,Food,Asian Restaurant,Tibetan Restaurant,,
207,3,Vietnamese Restaurant,4bf58dd8d48988d14a941735,Food,Asian Restaurant,Vietnamese Restaurant,,
208,2,Australian Restaurant,4bf58dd8d48988d169941735,Food,Australian Restaurant,,,
209,2,Austrian Restaurant,52e81612bcbc57f1066b7a01,Food,Austrian Restaurant,,,
210,2,BBQ Joint,4bf58dd8d48988d1df931735,Food,BBQ Joint,,,
211,2,Bagel Shop,4bf58dd8d48988d179941735,Food,Bagel Shop,,,
212,2,Bakery,4bf58dd8d48988d16a941735,Food,Bakery,,,
213,2,Bangladeshi Restaurant,5e179ee74ae8e90006e9a746,Food,Bangladeshi Restaurant,,,
214,2,Belgian Restaurant,52e81612bcbc57f1066b7a02,Food,Belgian Restaurant,,,
215,2,Bistro,52e81612bcbc57f1066b79f1,Food,Bistro,,,
216,2,Breakfast Spot,4bf58dd8d48988d143941735,Food,Breakfast Spot,,,
217,2,Bubble Tea Shop,52e81612bcbc57f1066b7a0c,Food,Bubble Tea Shop,,,
218,2,Buffet,52e81612bcbc57f1066b79f4,Food,Buffet,,,
219,2,Burger Joint,4bf58dd8d48988d16c941735,Food,Burger Joint,,,
220,2,Cafeteria,4bf58dd8d48988d128941735,Food,Cafeteria,,,
221,2,Cafe,4bf58dd8d48988d16d941735,Food,Cafe,,,
222,2,Cajun / Creole Restaurant,4bf58dd8d48988d17a941735,Food,Cajun / Creole Restaurant,,,
223,2,Caribbean Restaurant,4bf58dd8d48988d144941735,Food,Caribbean Restaurant,,,
224,3,Cuban Restaurant,4bf58dd8d48988d154941735,Food,Caribbean Restaurant,Cuban Restaurant,,
225,2,Caucasian Restaurant,5293a7d53cf9994f4e043a45,Food,Caucasian Restaurant,,,
226,2,Coffee Shop,4bf58dd8d48988d1e0931735,Food,Coffee Shop,,,
227,2,Comfort Food Restaurant,52e81612bcbc57f1066b7a00,Food,Comfort Food Restaurant,,,
228,2,Creperie,52e81612bcbc57f1066b79f2,Food,Creperie,,,
229,2,Czech Restaurant,52f2ae52bcbc57f1066b8b81,Food,Czech Restaurant,,,
230,2,Deli / Bodega,4bf58dd8d48988d146941735,Food,Deli / Bodega,,,
231,2,Dessert Shop,4bf58dd8d48988d1d0941735,Food,Dessert Shop,,,
232,3,Cupcake Shop,4bf58dd8d48988d1bc941735,Food,Dessert Shop,Cupcake Shop,,
233,3,Frozen Yogurt Shop,512e7cae91d4cbb4e5efe0af,Food,Dessert Shop,Frozen Yogurt Shop,,
234,3,Ice Cream Shop,4bf58dd8d48988d1c9941735,Food,Dessert Shop,Ice Cream Shop,,
235,3,Pastry Shop,5744ccdfe4b0c0459246b4e2,Food,Dessert Shop,Pastry Shop,,
236,3,Pie Shop,52e81612bcbc57f1066b7a0a,Food,Dessert Shop,Pie Shop,,
237,2,Diner,4bf58dd8d48988d147941735,Food,Diner,,,
238,2,Donut Shop,4bf58dd8d48988d148941735,Food,Donut Shop,,,
239,2,Dumpling Restaurant,4bf58dd8d48988d108941735,Food,Dumpling Restaurant,,,
240,2,Dutch Restaurant,5744ccdfe4b0c0459246b4d0,Food,Dutch Restaurant,,,
241,2,Eastern European Restaurant,4bf58dd8d48988d109941735,Food,Eastern European Restaurant,,,
242,3,Belarusian Restaurant,52e928d0bcbc57f1066b7e97,Food,Eastern European Restaurant,Belarusian Restaurant,,
243,3,Bosnian Restaurant,58daa1558bbb0b01f18ec1ee,Food,Eastern European Restaurant,Bosnian Restaurant,,
244,3,Bulgarian Restaurant,56aa371be4b08b9a8d5734f3,Food,Eastern European Restaurant,Bulgarian Restaurant,,
245,3,Romanian Restaurant,52960bac3cf9994f4e043ac4,Food,Eastern European Restaurant,Romanian Restaurant,,
246,3,Tatar Restaurant,52e928d0bcbc57f1066b7e98,Food,Eastern European Restaurant,Tatar Restaurant,,
247,2,English Restaurant,52e81612bcbc57f1066b7a05,Food,English Restaurant,,,
248,2,Falafel Restaurant,4bf58dd8d48988d10b941735,Food,Falafel Restaurant,,,
249,2,Fast Food Restaurant,4bf58dd8d48988d16e941735,Food,Fast Food Restaurant,,,
250,2,Fish & Chips Shop,4edd64a0c7ddd24ca188df1a,Food,Fish & Chips Shop,,,
251,2,Fondue Restaurant,52e81612bcbc57f1066b7a09,Food,Fondue Restaurant,,,
252,2,Food Court,4bf58dd8d48988d120951735,Food,Food Court,,,
253,2,Food Stand,56aa371be4b08b9a8d57350b,Food,Food Stand,,,
254,2,Food Truck,4bf58dd8d48988d1cb941735,Food,Food Truck,,,
255,2,French Restaurant,4bf58dd8d48988d10c941735,Food,French Restaurant,,,
256,3,Alsatian Restaurant,57558b36e4b065ecebd306b6,Food,French Restaurant,Alsatian Restaurant,,
257,3,Auvergne Restaurant,57558b36e4b065ecebd306b8,Food,French Restaurant,Auvergne Restaurant,,
258,3,Basque Restaurant,57558b36e4b065ecebd306bc,Food,French Restaurant,Basque Restaurant,,
259,3,Brasserie,57558b36e4b065ecebd306b0,Food,French Restaurant,Brasserie,,
260,3,Breton Restaurant,57558b36e4b065ecebd306c5,Food,French Restaurant,Breton Restaurant,,
261,3,Burgundian Restaurant,57558b36e4b065ecebd306c0,Food,French Restaurant,Burgundian Restaurant,,
262,3,Catalan Restaurant,57558b36e4b065ecebd306cb,Food,French Restaurant,Catalan Restaurant,,
263,3,Ch'ti Restaurant,57558b36e4b065ecebd306ce,Food,French Restaurant,Ch'ti Restaurant,,
264,3,Corsican Restaurant,57558b36e4b065ecebd306d1,Food,French Restaurant,Corsican Restaurant,,
265,3,Estaminet,57558b36e4b065ecebd306b4,Food,French Restaurant,Estaminet,,
